episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-13.2,-161.4,-42.36750000000001,100.0,40,0,4000,0,4000,False,40,1,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-30-36,1643711436,24.001896381378174,24.001896381378174,79027,Myless-MBP,127.0.0.1,24.001896381378174,0,1,"[-32.2, -22.4, -100.3, -40.2, -36.20000000000001, -30.4, -14.4, -52.2, -66.3, -41.3, -133.3, -27.900000000000002, -22.9, -18.7, -44.4, -38.2, -49.3, -35.300000000000054, -35.3, -161.4, -32.3, -27.700000000000003, -40.40000000000001, -33.9, -13.2, -23.2, -40.20000000000002, -36.7, -41.80000000000001, -17.20000000000001, -27.400000000000002, -66.09999999999991, -36.3, -39.000000000000114, -25.60000000000004, -41.3, -37.30000000000001, -37.4, -43.9, -31.200000000000003]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6964423602236953,0.8341051047815439,0.03851970652585267,3.255393021823585,0.0,19345.154,206.77,0.287,13934564.784,4674.019,855.795,4000,4000,4000,4000,30.86060606060606,95.26666666666667,0.0,0.20000000000000004,0.00010000000000000003,4.22584290121662,0.00469927848767369,422.08086248418334,-0.037619979599470735,0.001675443166990717,0.6915079034784789,0.0
-9.399999999999993,-161.4,-43.42875,100.0,40,0,8000,0,8000,False,80,2,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-31-01,1643711461,25.43196201324463,49.4338583946228,79027,Myless-MBP,127.0.0.1,49.4338583946228,0,2,"[-32.2, -22.4, -100.3, -40.2, -36.20000000000001, -30.4, -14.4, -52.2, -66.3, -41.3, -133.3, -27.900000000000002, -22.9, -18.7, -44.4, -38.2, -49.3, -35.300000000000054, -35.3, -161.4, -32.3, -27.700000000000003, -40.40000000000001, -33.9, -13.2, -23.2, -40.20000000000002, -36.7, -41.80000000000001, -17.20000000000001, -27.400000000000002, -66.09999999999991, -36.3, -39.000000000000114, -25.60000000000004, -41.3, -37.30000000000001, -37.4, -43.9, -31.200000000000003, -46.90000000000001, -51.3, -31.200000000000003, -42.3, -100.99999999999994, -18.4, -49.2, -31.100000000000016, -40.60000000000001, -43.4, -67.2, -43.50000000000001, -64.8, -26.0, -45.40000000000002, -50.3, -35.2, -46.3, -42.3, -30.60000000000001, -29.700000000000006, -18.9, -39.20000000000002, -17.600000000000005, -14.799999999999997, -45.90000000000001, -81.2, -103.8, -26.000000000000053, -55.3, -43.4, -35.900000000000006, -101.3, -17.3, -91.2, -46.10000000000001, -46.40000000000001, -23.8, -9.399999999999993, -25.4]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6895050692749408,0.8546208654372963,0.03873767676138368,3.2803998724134873,0.0,21991.8,181.886,0.515,7774428.174,5078.218,787.678,8000,8000,8000,8000,31.00857142857143,95.33428571428573,0.0,0.10000000000000002,0.00010000000000000003,2.4314102033964327,0.00803197136359109,242.24683172984788,-0.0013312021250365884,0.009099640577087686,0.6876645679114968,0.0
-9.399999999999993,-174.3,-42.16200000000001,100.0,40,0,12000,0,12000,False,120,3,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-31-25,1643711485,24.04831099510193,73.48216938972473,79027,Myless-MBP,127.0.0.1,73.48216938972473,0,3,"[-32.3, -27.700000000000003, -40.40000000000001, -33.9, -13.2, -23.2, -40.20000000000002, -36.7, -41.80000000000001, -17.20000000000001, -27.400000000000002, -66.09999999999991, -36.3, -39.000000000000114, -25.60000000000004, -41.3, -37.30000000000001, -37.4, -43.9, -31.200000000000003, -46.90000000000001, -51.3, -31.200000000000003, -42.3, -100.99999999999994, -18.4, -49.2, -31.100000000000016, -40.60000000000001, -43.4, -67.2, -43.50000000000001, -64.8, -26.0, -45.40000000000002, -50.3, -35.2, -46.3, -42.3, -30.60000000000001, -29.700000000000006, -18.9, -39.20000000000002, -17.600000000000005, -14.799999999999997, -45.90000000000001, -81.2, -103.8, -26.000000000000053, -55.3, -43.4, -35.900000000000006, -101.3, -17.3, -91.2, -46.10000000000001, -46.40000000000001, -23.8, -9.399999999999993, -25.4, -49.3, -13.0, -24.000000000000004, -68.7, -39.50000000000001, -45.3, -88.5, -49.3, -37.6, -33.30000000000001, -44.2, -13.299999999999981, -16.5, -52.4, -40.3, -35.400000000000006, -15.3, -53.60000000000001, -19.599999999999998, -43.79999999999997, -18.2, -48.900000000000006, -36.2, -29.6, -21.4, -116.30000000000003, -56.30000000000001, -42.3, -74.3, -26.3, -58.50000000000001, -56.5, -15.3, -39.7, -51.70000000000002, -174.3, -20.6, -10.3, -21.6, -43.3]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6882378003139837,0.8581778690650032,0.03856433124864734,3.2806830167528562,0.0,22832.614,175.188,0.436,9167877.596,5065.36,789.677,12000,12000,12000,12000,33.54242424242424,95.22424242424242,0.0,0.10000000000000002,0.00010000000000000003,2.7902086115672544,0.0027757277572026816,278.619220512144,0.01142357337859369,0.01240741552338921,0.6741377320981795,0.0
-9.399999999999993,-174.3,-42.57100000000001,100.0,40,0,16000,0,16000,False,160,4,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-31-49,1643711509,23.376924991607666,96.8590943813324,79027,Myless-MBP,127.0.0.1,96.8590943813324,0,4,"[-29.700000000000006, -18.9, -39.20000000000002, -17.600000000000005, -14.799999999999997, -45.90000000000001, -81.2, -103.8, -26.000000000000053, -55.3, -43.4, -35.900000000000006, -101.3, -17.3, -91.2, -46.10000000000001, -46.40000000000001, -23.8, -9.399999999999993, -25.4, -49.3, -13.0, -24.000000000000004, -68.7, -39.50000000000001, -45.3, -88.5, -49.3, -37.6, -33.30000000000001, -44.2, -13.299999999999981, -16.5, -52.4, -40.3, -35.400000000000006, -15.3, -53.60000000000001, -19.599999999999998, -43.79999999999997, -18.2, -48.900000000000006, -36.2, -29.6, -21.4, -116.30000000000003, -56.30000000000001, -42.3, -74.3, -26.3, -58.50000000000001, -56.5, -15.3, -39.7, -51.70000000000002, -174.3, -20.6, -10.3, -21.6, -43.3, -42.20000000000001, -80.60000000000004, -33.60000000000001, -36.4, -33.4, -35.1, -99.9, -16.2, -66.80000000000001, -36.20000000000001, -32.5, -57.2, -39.00000000000002, -33.3, -26.60000000000001, -60.899999999999906, -40.10000000000001, -75.4, -14.3, -19.3, -50.50000000000002, -15.6, -38.2, -26.2, -14.3, -26.1, -51.3, -36.4, -25.3, -34.60000000000001, -42.8, -60.7, -43.50000000000009, -20.80000000000005, -55.39999999999991, -23.7, -25.50000000000002, -115.7, -39.3, -15.1]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6872967618982551,0.8500483753159341,0.03815154148284927,3.268712571963273,0.0,23088.304,173.248,0.397,10064316.737,4947.696,808.457,16000,16000,16000,16000,28.965625000000003,95.296875,0.0,0.10000000000000002,0.00010000000000000003,1.916108810485551,0.009014984636857945,190.62022054528677,0.12538659969965618,0.008916616685168586,0.6844559133052825,0.0
-7.199999999999999,-174.3,-42.97,100.0,40,0,20000,0,20000,False,200,5,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-32-11,1643711531,22.244352102279663,119.10344648361206,79027,Myless-MBP,127.0.0.1,119.10344648361206,0,5,"[-18.2, -48.900000000000006, -36.2, -29.6, -21.4, -116.30000000000003, -56.30000000000001, -42.3, -74.3, -26.3, -58.50000000000001, -56.5, -15.3, -39.7, -51.70000000000002, -174.3, -20.6, -10.3, -21.6, -43.3, -42.20000000000001, -80.60000000000004, -33.60000000000001, -36.4, -33.4, -35.1, -99.9, -16.2, -66.80000000000001, -36.20000000000001, -32.5, -57.2, -39.00000000000002, -33.3, -26.60000000000001, -60.899999999999906, -40.10000000000001, -75.4, -14.3, -19.3, -50.50000000000002, -15.6, -38.2, -26.2, -14.3, -26.1, -51.3, -36.4, -25.3, -34.60000000000001, -42.8, -60.7, -43.50000000000009, -20.80000000000005, -55.39999999999991, -23.7, -25.50000000000002, -115.7, -39.3, -15.1, -49.20000000000002, -24.2, -161.3, -29.3, -31.4, -21.3, -75.7, -26.3, -25.700000000000003, -10.4, -23.4, -25.3, -35.8, -55.30000000000001, -118.7, -99.2, -20.4, -53.4, -44.7, -35.80000000000001, -50.400000000000006, -121.0, -7.199999999999999, -46.90000000000001, -18.699999999999996, -30.199999999999996, -52.3, -55.50000000000001, -13.399999999999984, -21.5, -26.600000000000005, -38.800000000000026, -14.4, -21.3, -19.3, -55.69999999999993, -28.000000000000007, -29.400000000000006, -42.80000000000001, -35.2]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6813666625169019,0.8279839556886239,0.037468991697210956,3.2407707854740475,0.0,22945.23,174.328,0.38,10517311.936,4855.347,823.834,20000,20000,20000,20000,33.59,95.1233333333333,0.0,0.10000000000000002,0.00010000000000000003,2.8275119870911123,0.001093954588937503,282.5435597522284,0.1342576551181014,0.009824744364213826,0.6353376467381754,0.0
-7.199999999999999,-161.3,-39.937,100.0,40,0,24000,0,24000,False,240,6,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-32-35,1643711555,24.269880056381226,143.3733265399933,79027,Myless-MBP,127.0.0.1,143.3733265399933,0,6,"[-50.50000000000002, -15.6, -38.2, -26.2, -14.3, -26.1, -51.3, -36.4, -25.3, -34.60000000000001, -42.8, -60.7, -43.50000000000009, -20.80000000000005, -55.39999999999991, -23.7, -25.50000000000002, -115.7, -39.3, -15.1, -49.20000000000002, -24.2, -161.3, -29.3, -31.4, -21.3, -75.7, -26.3, -25.700000000000003, -10.4, -23.4, -25.3, -35.8, -55.30000000000001, -118.7, -99.2, -20.4, -53.4, -44.7, -35.80000000000001, -50.400000000000006, -121.0, -7.199999999999999, -46.90000000000001, -18.699999999999996, -30.199999999999996, -52.3, -55.50000000000001, -13.399999999999984, -21.5, -26.600000000000005, -38.800000000000026, -14.4, -21.3, -19.3, -55.69999999999993, -28.000000000000007, -29.400000000000006, -42.80000000000001, -35.2, -21.2, -32.00000000000001, -31.800000000000004, -33.000000000000014, -36.10000000000008, -45.1, -46.000000000000014, -27.200000000000003, -40.20000000000002, -18.000000000000014, -19.3, -37.60000000000001, -31.400000000000002, -18.2, -30.2, -149.3, -42.3, -39.9, -144.1, -8.2, -26.700000000000003, -44.6, -31.200000000000006, -132.4, -28.4, -35.20000000000007, -14.199999999999994, -20.3, -23.3, -28.200000000000053, -27.4, -35.99999999999995, -46.5, -26.800000000000004, -30.200000000000006, -17.099999999999994, -30.4, -16.199999999999996, -37.900000000000006, -33.20000000000001]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6797472088477793,0.8150244361466699,0.03751764648602422,3.224811750003765,0.0,23112.282,173.068,0.365,10945231.706,4853.301,824.181,24000,24000,24000,24000,30.193939393939395,95.39393939393939,0.0,0.10000000000000002,0.00010000000000000003,2.655305207441611,-0.0004886240550687396,265.4392942797753,0.013348902617731402,0.01400959069692252,0.6196693326837273,0.0
-7.199999999999999,-149.3,-33.98700000000001,100.0,40,0,28000,0,28000,False,280,7,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-32-59,1643711579,23.89499306678772,167.268319606781,79027,Myless-MBP,127.0.0.1,167.268319606781,0,7,"[-50.400000000000006, -121.0, -7.199999999999999, -46.90000000000001, -18.699999999999996, -30.199999999999996, -52.3, -55.50000000000001, -13.399999999999984, -21.5, -26.600000000000005, -38.800000000000026, -14.4, -21.3, -19.3, -55.69999999999993, -28.000000000000007, -29.400000000000006, -42.80000000000001, -35.2, -21.2, -32.00000000000001, -31.800000000000004, -33.000000000000014, -36.10000000000008, -45.1, -46.000000000000014, -27.200000000000003, -40.20000000000002, -18.000000000000014, -19.3, -37.60000000000001, -31.400000000000002, -18.2, -30.2, -149.3, -42.3, -39.9, -144.1, -8.2, -26.700000000000003, -44.6, -31.200000000000006, -132.4, -28.4, -35.20000000000007, -14.199999999999994, -20.3, -23.3, -28.200000000000053, -27.4, -35.99999999999995, -46.5, -26.800000000000004, -30.200000000000006, -17.099999999999994, -30.4, -16.199999999999996, -37.900000000000006, -33.20000000000001, -31.60000000000003, -47.20000000000001, -48.60000000000001, -46.90000000000006, -39.800000000000004, -36.70000000000009, -19.4, -31.200000000000003, -24.4, -17.4, -40.90000000000003, -30.900000000000023, -14.2, -46.2, -71.2, -14.299999999999999, -22.4, -65.2, -11.4, -48.400000000000006, -26.900000000000013, -16.3, -11.200000000000001, -30.60000000000001, -14.4, -34.70000000000002, -15.899999999999999, -24.3, -10.3, -11.3, -22.5, -16.4, -20.4, -21.6, -46.50000000000001, -18.3, -18.299999999999997, -19.3, -37.90000000000001, -7.4]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6808914132541972,0.8101854870240317,0.03779014700652726,3.222720287053203,0.0,23245.322,172.078,0.454,8804956.665,4833.537,827.551,28000,28000,28000,28000,33.67878787878787,95.32121212121213,0.0,0.10000000000000002,0.00010000000000000003,0.6127905264990003,0.0006569069519799243,61.05475224423152,0.018462749770892562,0.01586110356984456,0.5342568875320496,0.0
-6.4,-152.8,-30.747000000000007,100.0,40,0,32000,0,32000,False,320,8,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-33-22,1643711602,23.269486904144287,190.5378065109253,79027,Myless-MBP,127.0.0.1,190.5378065109253,0,8,"[-26.700000000000003, -44.6, -31.200000000000006, -132.4, -28.4, -35.20000000000007, -14.199999999999994, -20.3, -23.3, -28.200000000000053, -27.4, -35.99999999999995, -46.5, -26.800000000000004, -30.200000000000006, -17.099999999999994, -30.4, -16.199999999999996, -37.900000000000006, -33.20000000000001, -31.60000000000003, -47.20000000000001, -48.60000000000001, -46.90000000000006, -39.800000000000004, -36.70000000000009, -19.4, -31.200000000000003, -24.4, -17.4, -40.90000000000003, -30.900000000000023, -14.2, -46.2, -71.2, -14.299999999999999, -22.4, -65.2, -11.4, -48.400000000000006, -26.900000000000013, -16.3, -11.200000000000001, -30.60000000000001, -14.4, -34.70000000000002, -15.899999999999999, -24.3, -10.3, -11.3, -22.5, -16.4, -20.4, -21.6, -46.50000000000001, -18.3, -18.299999999999997, -19.3, -37.90000000000001, -7.4, -15.2, -27.500000000000014, -25.700000000000003, -9.299999999999999, -35.19999999999998, -42.500000000000014, -66.3, -12.3, -6.4, -37.30000000000001, -14.4, -21.200000000000017, -30.600000000000005, -35.80000000000001, -42.10000000000001, -33.60000000000001, -13.200000000000001, -7.4, -7.300000000000001, -12.4, -13.0, -10.3, -25.000000000000014, -36.00000000000001, -17.2, -13.4, -35.3, -9.2, -69.3, -30.000000000000007, -22.7, -13.3, -13.2, -152.8, -66.2, -18.3, -32.10000000000001, -132.8, -12.3, -37.600000000000016]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6812736940345553,0.8068202126039093,0.03783720540902752,3.2246629412113212,0.0,23247.075,172.065,0.433,9248103.631,4822.673,829.416,32000,32000,32000,32000,24.632258064516126,95.32903225806452,0.0,0.10000000000000002,0.00010000000000000003,1.920667262095958,0.0029275063981091783,191.7229472298776,-0.08099534005247136,0.005103211979336074,0.49530547443897494,0.0
-3.3,-152.8,-25.424000000000007,100.0,40,0,36000,0,36000,False,360,9,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-33-48,1643711628,25.769834995269775,216.30764150619507,79027,Myless-MBP,127.0.0.1,216.30764150619507,0,9,"[-26.900000000000013, -16.3, -11.200000000000001, -30.60000000000001, -14.4, -34.70000000000002, -15.899999999999999, -24.3, -10.3, -11.3, -22.5, -16.4, -20.4, -21.6, -46.50000000000001, -18.3, -18.299999999999997, -19.3, -37.90000000000001, -7.4, -15.2, -27.500000000000014, -25.700000000000003, -9.299999999999999, -35.19999999999998, -42.500000000000014, -66.3, -12.3, -6.4, -37.30000000000001, -14.4, -21.200000000000017, -30.600000000000005, -35.80000000000001, -42.10000000000001, -33.60000000000001, -13.200000000000001, -7.4, -7.300000000000001, -12.4, -13.0, -10.3, -25.000000000000014, -36.00000000000001, -17.2, -13.4, -35.3, -9.2, -69.3, -30.000000000000007, -22.7, -13.3, -13.2, -152.8, -66.2, -18.3, -32.10000000000001, -132.8, -12.3, -37.600000000000016, -8.4, -11.4, -31.20000000000001, -42.400000000000006, -11.1, -3.3, -24.400000000000006, -29.500000000000007, -40.30000000000001, -11.4, -10.4, -17.3, -42.10000000000003, -42.90000000000001, -68.3, -12.3, -19.900000000000002, -26.9, -48.300000000000026, -15.099999999999977, -10.2, -9.3, -8.1, -10.3, -25.90000000000004, -13.2, -7.4, -33.400000000000006, -13.6, -30.400000000000006, -34.2, -26.6, -15.2, -8.4, -5.9, -11.4, -33.60000000000001, -13.900000000000004, -14.1, -20.20000000000002]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6839812480848321,0.8083613217254145,0.03777925151271209,3.23674788734948,0.0,23524.873,170.033,0.414,9658731.146,4819.152,830.022,36000,36000,36000,36000,28.42,95.61142857142856,0.0,0.10000000000000002,0.00010000000000000003,0.3781464980181647,-0.009188624685730345,38.61789767306338,-0.08521987629193131,0.011561548862474522,0.4257350264217264,0.0
-3.0,-165.4,-28.923000000000002,100.0,40,0,40000,0,40000,False,400,10,ebf84_00000,4ceada51c4d5499bb9609a800d5e54b4,2022-02-01_10-34-12,1643711652,23.806607961654663,240.11424946784973,79027,Myless-MBP,127.0.0.1,240.11424946784973,0,10,"[-13.0, -10.3, -25.000000000000014, -36.00000000000001, -17.2, -13.4, -35.3, -9.2, -69.3, -30.000000000000007, -22.7, -13.3, -13.2, -152.8, -66.2, -18.3, -32.10000000000001, -132.8, -12.3, -37.600000000000016, -8.4, -11.4, -31.20000000000001, -42.400000000000006, -11.1, -3.3, -24.400000000000006, -29.500000000000007, -40.30000000000001, -11.4, -10.4, -17.3, -42.10000000000003, -42.90000000000001, -68.3, -12.3, -19.900000000000002, -26.9, -48.300000000000026, -15.099999999999977, -10.2, -9.3, -8.1, -10.3, -25.90000000000004, -13.2, -7.4, -33.400000000000006, -13.6, -30.400000000000006, -34.2, -26.6, -15.2, -8.4, -5.9, -11.4, -33.60000000000001, -13.900000000000004, -14.1, -20.20000000000002, -36.000000000000014, -9.2, -34.80000000000001, -88.2, -3.0, -36.60000000000001, -127.6, -28.199999999999996, -6.2, -22.400000000000006, -48.500000000000014, -33.400000000000034, -8.3, -24.799999999999997, -165.4, -6.1000000000000005, -29.300000000000004, -140.3, -7.3, -34.7, -7.3, -33.80000000000001, -13.4, -18.199999999999996, -10.4, -45.800000000000004, -29.700000000000003, -3.4, -26.100000000000012, -8.4, -9.4, -6.2, -30.500000000000007, -6.3, -10.4, -13.3, -59.0, -9.4, -21.0, -17.799999999999997]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",0.6845075806080362,0.8105385367399349,0.03769702834867732,3.24354344043306,0.0,23482.323,170.341,0.406,9846939.782,4889.097,818.147,40000,40000,40000,40000,22.472727272727273,95.48787878787878,0.0,0.10000000000000002,0.00010000000000000003,2.449505972124321,0.005177034355539788,244.39027118349588,-0.06686769525210062,0.004262715775830221,0.4188361338069362,0.0
